Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,BNB-USD,BTC-USD,ETH-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,XRP-USD
Date,,,,,,,,,,,,,,,,,,,,
2023-03-06,288.0549621582031,22429.7578125,1567.398681640625,0.3704710006713867,289.7183837890625,22584.29296875,1579.456298828125,0.37323999404907227,283.9531555175781,22331.314453125,1557.363525390625,0.3609969913959503,288.7044982910156,22436.81640625,1564.3831787109375,0.36717599630355835,374160712,17353192895,5245153345,1161608429
2023-03-07,289.34368896484375,22219.76953125,1561.93310546875,0.38054800033569336,290.21673583984375,22527.41796875,1579.1622314453125,0.383994996547699,284.37408447265625,22011.26171875,1543.1275634765625,0.368149995803833,287.99554443359375,22428.322265625,1567.4246826171875,0.3704400062561035,373176525,22765452204,6854058349,1479466647
2023-03-08,286.86700439453125,21718.080078125,1534.0882568359375,0.3891879916191101,293.6416320800781,22268.896484375,1568.17529296875,0.3990600109100342,285.5854797363281,21708.05078125,1534.0882568359375,0.37376001477241516,289.32745361328125,22216.44140625,1561.9779052734375,0.38055598735809326,436665040,22536575684,7130327525,1881889627
2023-03-09,277.2961120605469,20363.021484375,1438.6607666015625,0.37213000655174255,291.3664855957031,21802.716796875,1544.1083984375,0.3963780105113983,272.7283630371094,20210.306640625,1423.2647705078125,0.3666599988937378,286.9457702636719,21720.080078125,1534.0316162109375,0.38917601108551025,505668979,30364664171,9457897583,1727254553
2023-03-10,277.4195861816406,20187.244140625,1429.1580810546875,0.37062200903892517,278.1007385253906,20370.595703125,1438.7601318359375,0.3747110068798065,265.7124328613281,19628.25390625,1378.525390625,0.3598819971084595,277.3235168457031,20367.001953125,1438.7601318359375,0.3720940053462982,558776711,39578257695,12665194936,1450894929
2023-03-11,277.96142578125,20632.41015625,1482.61669921875,0.3668319880962372,281.64410400390625,20792.525390625,1484.136962890625,0.37470099329948425,272.2830810546875,20068.66015625,1428.72314453125,0.36208298802375793,277.4346618652344,20187.876953125,1429.100830078125,0.3706429898738861,523623578,30180288176,14917080154,1051093584
2023-03-12,289.67578125,22163.94921875,1590.29296875,0.37331798672676086,289.7134094238281,22185.03125,1607.152587890625,0.37331798672676086,276.63861083984375,20448.806640625,1461.6109619140625,0.3524729907512665,277.94403076171875,20628.029296875,1482.431884765625,0.36682701110839844,483074620,29279035521,11480965122,1102164948
2023-03-13,308.9122009277344,24197.533203125,1680.3089599609375,0.37378600239753723,313.75372314453125,24550.837890625,1699.9117431640625,0.38100099563598633,287.5561828613281,21918.19921875,1572.07470703125,0.3581419885158539,289.7408142089844,22156.40625,1590.8311767578125,0.3733539879322052,1122664621,49466362688,15711468959,1694593960
